latitude,longitude,OBJECTID,Name,Type,Grade
31.08922458,-29.58129378,1,Belvedere,Pool,D
31.09529281,-29.58324281,2,Buffelsdale,Pool,D
31.04313894,-29.65462596,3,Verulam,Pool,B
31.02443858,-29.69727309,4,Stanmore,Pool,B
31.02156823,-29.72463875,5,Rainham,Pool,C
30.98350903,-29.74134746,6,Kwamashu G,Pool,D
30.93023629,-29.7269139,7,Ntuzuma E,Pool,B
30.98914425,-29.80370412,8,Rochdale,Pool,D
30.89119379,-30.05150192,9,Nyoni,Beach,D
30.94207347,-30.00398365,10,Tiger Rocks,Beach,D
30.93667333,-30.00778832,11,Dakota,Pool,D
30.86613522,-29.98330896,12,Umlazi BB,Pool,B
30.90681523,-29.96715284,13,Umlazi D,Pool,D
31.01993723,-29.92283689,14,Ansteys,Beach,D
31.01228387,-29.93343538,15,Brighton ,Beach,D
31.02535444,-29.9061798,16,LT King,Pool,B
30.96996956,-29.95288895,17,Merewent,Pool,C
30.91318841,-29.92335705,18,Bayview,Pool,C
30.89135544,-29.92385234,19,Croftdene,Pool,C
30.87623333,-29.90949441,20,Arena Park,Pool,B
30.95177914,-29.88843255,21,Bellair,ool,C
30.96438743,-29.92477611,22,Allex Bulley,Pool,C
30.87539313,-29.89112705,23,Shallcross,Pool,C
30.85709753,-29.80954054,24,Lahee Park,Pool,B
30.92384294,-29.83738368,25,Westville,Pool,B
30.82641616,-29.86557835,26,Marianridge,Pool,C
30.80380888,-29.87531328,27,Nagina,Pool,C
30.94259942,-29.8512407,28,Chesterville,Pool,D
31.02236657,-29.82995667,29,Sutton Park,Pool,B
31.03241384,-29.83100608,30,Kings Park Indoor,Pool,A
31.03280378,-29.83050474,31,Kings Park Outdoor,Pool,A
31.03852515,-29.85138314,32,Rachel Finlayson,Beach,B
31.0395963,-29.85415875,33,CAC,Beach,D
31.03733845,-29.82045919,34,Laguna,Beach,D
31.04007886,-29.85739475,35,South Beach ,Beach,D
30.90273919,-29.94883406,36,Umlazi G,Pool,C
30.9858956,-29.84516241,37,Tills Crescent,Pool,C
30.91728882,-29.98964661,38,Isipingo Hill,Pool,D
30.99289236,-29.8270349,39,Balkumar Singh,Pool,C
30.98438297,-29.87829694,40,Tesoriere,Pool,C
30.89733246,-29.79877924,41,Clermont,Pool,B
31.12439258,-29.5531984,42,Hambanathi,Pool,D
30.95349238,-29.69605788,43,Inanda,Pool,C
30.89926258,-30.03988845,44,Pipeline,Beach,D
30.96411468,-29.77430153,45,Newlands,Pool,B
31.03546901,-29.776488,46,Durban North,Pool,C
31.01773113,-29.7754704,47,Firwood,Pool,B
30.8625755,-30.09645472,48,Winkle,Beach,D
30.95269411,-29.99184039,49,Reunion,Beach,D
30.98523292,-29.9426056,50,Austerville,Pool,B
30.82321926,-30.09578677,51,Illovo,Pool,D
30.9880855,-29.75804548,52,Kwamashu D,Pool,C
30.94542699,-29.94336672,53,Lamontville,Pool,D
30.83686372,-30.14214808,54,Umgababa,Beach,B
